applicant_id,grade_id,program_id,ranking,quota_id,priority_profile_ori,priority_profile_edi
3617471,12,357,5,3,2,1
3617484,12,229,1,1,6,1
3617484,12,426,2,2,5,1
3617484,12,370,3,1,4,1
3617504,1,297,1,10,6,1
3617504,1,98,2,3,5,1
3617504,1,215,3,11,4,1
3617508,11,228,1,1,33,3
3617511,14,291,1,3,6,1
3617511,14,359,2,3,5,1
3617511,14,372,3,3,4,1
3617524,4,218,1,11,6,1
3617525,10,186,1,3,35,5
3617525,10,204,2,11,28,3
3617529,3,280,1,11,35,5
3617529,3,299,2,10,5,1
3617534,9,226,1,3,6,1
3617544,7,201,1,11,33,3
3617551,14,231,1,3,34,4
3617597,15,429,1,3,34,4
3617597,15,415,2,3,28,3
3617597,15,360,3,3,23,3
3617606,4,207,1,11,6,1
3617606,4,70,2,11,5,1
3617608,3,242,1,11,6,1
3617611,13,22,1,2,6,1
3617638,13,30,1,3,6,1
3617638,13,277,2,11,5,1
3617638,13,79,3,11,4,1
3617638,13,427,4,3,3,1
3617645,2,99,1,3,36,6
3617645,2,329,2,3,31,6
3617645,2,216,3,3,26,6
3617645,2,347,4,3,21,6
3617664,13,22,1,3,6,1
3617664,13,413,2,3,5,1
3617681,13,427,1,3,6,1
3617681,13,371,2,3,5,1
3617682,3,416,1,11,35,5
3617682,3,155,2,11,5,1
3617725,10,355,1,2,6,1
3617725,10,186,2,2,28,3
3617743,7,352,1,2,6,1
3617743,7,183,2,2,5,1
3617754,3,319,1,2,32,2
3617754,3,348,2,2,27,2
3617754,3,385,3,2,22,2
3617754,3,100,4,2,17,2
3617754,3,179,5,2,12,2
3617754,3,299,6,8,7,2
3617756,13,371,1,3,6,1
3617763,4,70,1,11,6,1
3617763,4,207,2,11,5,1
3617763,4,362,3,11,4,1
3617763,4,156,4,11,3,1
3617763,4,165,5,11,2,1
3617763,4,234,6,11,1,1
3617766,14,295,1,5,6,1
3617766,14,372,2,3,5,1
3617773,1,251,1,11,34,4
3617785,12,229,1,4,6,1
3617785,12,21,2,2,5,1
3617799,1,91,1,11,6,1
3617799,1,383,2,3,5,1
3617799,1,98,3,3,4,1
3617799,1,215,4,11,3,1
3617799,1,297,5,10,2,1
3617799,1,346,6,3,1,1
3617807,5,332,1,2,6,1
3617808,11,228,1,1,34,4
3617826,12,229,1,4,6,1
3617826,12,289,2,2,5,1
3617841,3,416,1,11,6,1
3617841,3,217,2,11,5,1
3617856,3,179,1,3,6,1
3617856,3,69,2,11,5,1
3617856,3,217,3,11,4,1
3617856,3,133,4,11,3,1
3617856,3,155,5,11,2,1
3617856,3,197,6,11,1,1
3617857,10,227,1,4,6,1
3617869,12,229,1,4,6,1
3617871,4,180,1,3,6,1
3617871,4,218,2,11,5,1
3617871,4,386,3,3,25,5
3617871,4,156,4,11,3,1
3617871,4,125,5,11,2,1
3617876,1,177,1,2,6,1
3617876,1,109,2,2,5,1
3617876,1,328,3,2,4,1
3617876,1,383,4,2,3,1
3617876,1,346,5,2,2,1
3617876,1,317,6,2,1,1
3617918,2,298,1,8,6,1
3617918,2,178,2,2,5,1
3617918,2,99,3,2,4,1
3617918,2,384,4,2,3,1
3617918,2,318,5,2,2,1
3617928,13,290,1,3,6,1
3617928,13,294,2,6,30,5
3617928,13,174,3,11,4,1
3617934,3,111,1,3,6,1
3617934,3,164,2,11,5,1
3617934,3,308,3,11,4,1
3617934,3,253,4,11,3,1
3617948,13,427,1,3,6,1
3617948,13,358,2,3,5,1
3617948,13,371,3,3,4,1
3617972,14,359,1,3,6,1
3617972,14,291,2,3,5,1
3617972,14,80,3,11,4,1
3617980,7,352,1,2,6,1
3617980,7,183,2,2,5,1
3617980,7,389,3,2,4,1
3617985,2,329,1,3,6,1
3617985,2,178,2,3,30,5
3617986,3,416,1,11,34,4
3618008,7,183,1,2,6,1
3618008,7,303,2,8,5,1
3618048,10,227,1,4,6,1
3618068,2,384,1,3,6,1
3618068,2,110,2,3,5,1
3618068,2,216,3,11,4,1
3618068,2,154,4,11,3,1
3618075,1,215,1,11,6,1
3618075,1,91,2,11,5,1
3618076,13,371,1,3,6,1
3618076,13,358,2,3,5,1
3618079,5,219,1,11,6,1
3618079,5,418,2,11,5,1
3618091,3,111,1,3,6,1
3618091,3,69,2,11,5,1
3618091,3,206,3,11,4,1
3618091,3,188,4,11,3,1
3618091,3,155,5,11,2,1
3618142,14,231,1,4,6,1
3618142,14,372,2,2,5,1
3618142,14,359,3,2,4,1
3618145,11,119,1,3,6,1
3618146,12,78,1,11,6,1
3618146,12,412,2,6,30,5
3618161,14,264,1,11,6,1
3618161,14,372,2,11,5,1
3618166,3,416,1,11,34,4
3618195,13,2,1,3,33,3
3618195,13,230,2,3,28,3
3618195,13,79,3,3,23,3
3618198,1,215,1,11,6,1
3618198,1,177,2,3,30,5
3618198,1,346,3,3,4,1
3618199,14,359,1,3,6,1
3618199,14,372,2,11,28,3
3618200,10,162,1,3,6,1
3618200,10,224,2,3,5,1
3618200,10,195,3,3,4,1
3618200,10,213,4,3,3,1
3618200,10,240,5,3,2,1
3618200,10,368,6,3,1,1
3618201,5,157,1,11,6,1
3618201,5,208,2,11,5,1
3618201,5,95,3,11,4,1
3618203,10,227,1,1,6,1
3618212,13,2,1,3,33,3
3618212,13,230,2,3,28,3
3618212,13,79,3,3,23,3
3618213,12,229,1,4,6,1
3618213,12,357,2,2,5,1
3618214,9,203,1,11,34,4
3618221,4,70,1,3,33,3
3618221,4,268,2,3,28,3
3618230,1,215,1,11,5,1
3618237,12,5,1,2,6,1
3618237,12,370,2,2,5,1
3618237,12,262,3,2,4,1
3618239,1,98,1,2,34,4
3618239,1,297,2,8,5,1
3618257,12,357,1,2,6,1
3618257,12,370,2,2,5,1
3618257,12,229,3,1,4,1
3618257,12,262,4,2,3,1
3618257,12,289,5,2,2,1
3618257,12,21,6,2,1,1
3618290,3,111,1,2,6,1
3618290,3,385,2,2,5,1
3618290,3,330,3,2,4,1
3618290,3,299,4,8,3,1
3618290,3,319,5,2,2,1
3618292,13,371,1,3,6,1
3618292,13,427,2,3,5,1
3618308,14,19,1,3,6,1
3618308,14,428,2,3,5,1
3618308,14,372,3,3,4,1
3618318,14,372,1,3,6,1
3618318,14,31,2,3,5,1
3618318,14,175,3,11,4,1
3618318,14,264,4,3,3,1
3618322,11,393,1,2,6,1
3618322,11,123,2,2,5,1
3618324,13,22,1,3,6,1
3618324,13,427,2,3,5,1
3618326,11,356,1,3,6,1
3618326,11,369,2,3,5,1
3618326,11,424,3,3,24,4
3618326,11,187,4,3,3,1
3618331,10,227,1,3,35,5
3618331,10,355,2,3,30,5
3618331,10,186,3,3,25,5
3618331,10,224,4,3,20,5
3618336,12,370,1,3,6,1
3618336,12,262,2,3,5,1
3618336,12,357,3,3,4,1
3618336,12,289,4,3,3,1
3618348,8,353,1,3,6,1
3618348,8,366,2,3,5,1
3618348,8,184,3,3,4,1
3618348,8,193,4,3,3,1
3618348,8,272,5,3,2,1
3618358,6,103,1,3,6,1
3618358,6,311,2,11,5,1
3618358,6,256,3,11,4,1
3618358,6,333,4,3,3,1
3618358,6,85,5,11,2,1
3618358,6,270,6,11,1,1
3618380,13,358,1,3,6,1
3618384,13,371,1,3,6,1
3618388,13,427,1,3,6,1
3618430,11,228,1,4,6,1
3618450,4,417,1,11,6,1
3618453,1,346,1,3,6,1
3618453,1,177,2,3,30,5
3618453,1,215,3,11,4,1
3618455,12,229,1,4,6,1
3618463,1,109,1,2,33,3
3618463,1,383,2,2,28,3
3618469,13,413,1,5,6,1
3618469,13,263,2,3,5,1
3618469,13,290,3,3,4,1
3618489,11,123,1,11,6,1
3618499,13,263,1,3,6,1
3618499,13,371,2,3,5,1
3618500,3,319,1,3,34,4
3618500,3,69,2,11,5,1
3618500,3,93,3,11,4,1
3618500,3,217,4,11,3,1
3618500,3,155,5,11,2,1
3618500,3,267,6,11,1,1
3618504,13,18,1,3,6,1
3618504,13,290,2,3,5,1
3618506,3,394,1,11,34,4
3618513,13,427,1,3,6,1
3618513,13,6,2,3,5,1
3618518,3,339,1,11,34,4
3618531,13,427,1,2,6,1
3618531,13,371,2,2,5,1
3618531,13,230,3,1,4,1
3618531,13,358,4,2,3,1
3618538,8,184,1,2,33,3
3618538,8,335,2,2,5,1
3618538,8,353,3,2,23,3
3618540,12,25,1,3,6,1
3618540,12,412,2,6,30,5
3618551,4,417,1,11,33,3
3618551,4,189,2,11,31,6
3618579,13,413,1,6,35,5
3618579,13,358,2,3,5,1
3618579,13,371,3,3,4,1
3618586,12,229,1,3,33,3
3618586,12,370,2,3,28,3
3618587,1,177,1,2,6,1
3618605,3,155,1,11,6,1
3618605,3,69,2,11,5,1
3618605,3,188,3,11,4,1
3618605,3,100,4,3,3,1
3618605,3,111,5,3,2,1
3618605,3,267,6,11,1,1
3618608,1,383,1,3,6,1
3618608,1,109,2,3,5,1
3618608,1,251,3,11,4,1
3618611,12,229,1,3,33,3
3618611,12,370,2,3,5,1
3618617,13,427,1,3,6,1
3618617,13,6,2,3,5,1
3618623,11,228,1,4,6,1
3618623,11,108,2,2,29,4
3618634,11,228,1,3,33,3
3618642,9,150,1,11,35,5
3618660,14,372,1,3,6,1
3618663,6,419,1,11,6,1
3618674,6,419,1,11,6,1
3618679,13,413,1,5,5,1
3618679,13,427,2,3,5,1
3618689,10,186,1,2,33,3
3618689,10,337,2,2,5,1
3618689,10,355,3,2,23,3
3618697,10,227,1,4,6,1
3618701,10,227,1,3,6,1
3618701,10,423,2,11,5,1
3618701,10,224,3,11,4,1
3618701,10,355,4,3,3,1
3618701,10,204,5,11,2,1
3618701,10,162,6,11,1,1
3618704,9,226,1,1,6,1
3618705,7,352,1,2,6,1
3618705,7,323,2,2,5,1
3618705,7,104,3,2,4,1
3618705,7,334,4,2,3,1
3618716,6,388,1,3,35,5
3618722,5,387,1,3,35,5
3618724,10,227,1,1,6,1
3618724,10,186,2,2,5,1
3618724,10,355,3,2,4,1
3618724,10,122,4,2,3,1
3618724,10,326,5,2,2,1
3618732,13,230,1,3,6,1
3618746,9,354,1,3,33,3
3618746,9,121,2,3,5,1
3618746,9,223,3,11,4,1
3618746,9,194,4,11,3,1
3618746,9,273,5,11,2,1
3618746,9,75,6,11,1,1
3618897,3,179,1,3,6,1
3619002,2,216,1,11,6,1
3619002,2,110,2,3,5,1
3619002,2,252,3,11,4,1
3619002,2,154,4,11,3,1
3619002,2,99,5,3,2,1
3619002,2,384,6,3,1,1
3619020,6,114,1,2,6,1
3619020,6,182,2,2,5,1
3619020,6,351,3,2,4,1
3619040,1,346,1,3,6,1
3619040,1,91,2,11,5,1
3619040,1,177,3,3,4,1
3619040,1,328,4,3,3,1
3619040,1,251,5,11,2,1
3619050,9,223,1,11,6,1
3619050,9,354,2,3,5,1
3619050,9,226,3,3,4,1
3619056,11,228,1,2,6,1
3619056,11,108,2,2,5,1
3619056,11,327,3,2,4,1
3619056,11,307,4,2,3,1
3619057,11,228,1,1,33,3
3619058,12,229,1,3,6,1
3619058,12,370,2,3,5,1
3619061,4,70,1,11,33,3
3619075,11,228,1,4,6,1
3619093,10,227,1,4,6,1
3619131,5,387,1,3,6,1
3619174,3,93,1,11,6,1
3619174,3,69,2,11,5,1
3619174,3,133,3,11,4,1
3619174,3,319,4,3,3,1
3619174,3,217,5,11,2,1
3619174,3,188,6,11,1,1
3619191,10,306,1,9,6,1
3619192,4,198,1,11,35,5
3619192,4,218,2,11,30,5
3619246,11,119,1,3,33,3
3619261,13,413,1,5,6,1
3619269,3,242,1,11,34,4
3619271,14,372,1,3,6,1
3619271,14,295,2,6,30,5
3619277,12,229,1,1,33,3
3619282,4,349,1,2,6,1
3619282,4,180,2,2,5,1
3619282,4,112,3,2,4,1
3619285,11,119,1,3,34,4
3619297,1,383,1,3,6,1
3619297,1,109,2,3,5,1
3619302,7,323,1,3,33,3
3619302,7,271,2,11,28,3
